expediente|cod_plan|des_plan|anio_apertura_expediente|abandona|convocatoria_acceso|des_acceso|nota_admision_def|sexo|lugar_origen|anio_nacimiento_interval
69|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|H|MISMO_MUNICIPIO|(1985.0, 1990.0]
71|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Selectividad|6.41|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
72|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Selectividad|6.836|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
73|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
74|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Selectividad|6.23|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
76|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.21|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
77|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
79|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|6.836|H|OTRA_COMUNIDAD|(1990.0, 1995.0]
80|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Selectividad|6.836|H|OTRA_COMUNIDAD|(1980.0, 1985.0]
82|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Selectividad|6.836|H|OTRA_COMUNIDAD|(1980.0, 1985.0]
83|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|5.1|H|MISMO_MUNICIPIO|(1985.0, 1990.0]
84|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Formación Profesional|6.836|H|OTRA_COMUNIDAD|(1985.0, 1990.0]
87|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|SEP|Selectividad|6.836|H|OTRO_MUNICIPIO|(1980.0, 1985.0]
88|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|7.3|H|OTRA_COMUNIDAD|(1990.0, 1995.0]
89|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|6.842|D|MISMO_MUNICIPIO|(1990.0, 1995.0]
90|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|6.836|D|MISMO_MUNICIPIO|(1990.0, 1995.0]
91|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|1|JUN|Formación Profesional|6.836|H|MISMO_MUNICIPIO|(1985.0, 1990.0]
92|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|6.836|D|MISMO_MUNICIPIO|(1990.0, 1995.0]
93|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|6.586|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
94|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|6.836|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
95|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|7.918|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
97|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Formación Profesional|6.836|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
99|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|7.136|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
100|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|6.836|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
101|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|6.836|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
102|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|6.836|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
103|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|6.836|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
105|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|7.044|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
106|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|1|JUN|Formación Profesional|6.836|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
108|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|8.322|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
109|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|6.172|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
110|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|7.676|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
